mass	count	L	L_std	numPerimeterPoints	numPerimeterPoints_std	numInsidePoints	numInsidePoints_std	numLeafPoints	numLeafPoints_std	avg_degree_perimeter	avg_degree_perimeter_std	avg_degree_inside	avg_degree_inside_std	avg_degree_leaf	avg_degree_leaf_std	area	area_std	perimeter_over_area	perimeter_over_area_std
4.31504	3	1.72298	0.630269	3	0	1	0	1	0	3.44444	0.157135	3.66667	0.471405	2	0.816497	0.154325	0.0933779	15.5857	7.54556
5.97163	5	2.67703	0.287013	4.4	0.489898	1	0	1.4	0.489898	4.42	0.323419	4.6	0.489898	1.2	0.244949	0.309526	0.10639	9.54024	3.01706
8.2642	9	3.54757	0.974564	5.66667	1.41421	1	0	2.11111	1.36987	4.65635	0.568753	5.33333	0.942809	2.06667	0.69282	0.634047	0.260304	7.59078	5.56168
11.4369	20	4.75402	0.679343	7.97222	1.25247	1.27778	0.558326	1.69444	1.23759	5.17392	0.668509	6.55556	1.24598	1.57407	0.729075	0.839341	0.263776	6.53913	3.24101
15.8276	19	7.20763	1.7582	11.9706	2.14525	1.20588	0.516174	2.58824	1.41666	5.16645	0.993893	6.62745	1.46364	2.12059	0.780471	1.07817	0.405497	7.23083	1.80804
21.904	16	10.1462	1.88192	16.0385	2.35716	2.41026	1.5914	2.66667	2.02548	5.29598	0.881757	7.31923	1.88965	2.17692	0.855988	1.77714	0.431909	6.23609	1.95394
30.3132	22	13.7089	2.31172	21.4048	3.32959	2.45238	2.23556	5.11905	2.9677	5.10528	0.691901	7.04263	1.69449	2.06151	0.581187	2.29296	0.669639	6.28581	1.23704
41.9508	15	20.2341	3.02614	30.4848	3.8889	4.65152	2.6519	9.01515	3.46006	5.96319	0.815894	8.46717	2.18346	2.01965	0.294481	3.19905	0.777155	6.66336	1.55394
58.0561	4	24.5601	3.42759	37	3.74166	4.75	2.48747	12	3.67423	5.79314	0.872498	8.55	1.65151	2.39583	0.295527	3.98484	0.973152	6.49426	1.77096
80.3444	8	40.0848	6.32445	61.4286	7.90763	13.2143	5.91522	7.42857	4.5937	6.20593	0.699251	8.94344	1.42422	1.83829	0.390625	7.86471	1.73716	5.29078	1.18077
111.189	4	53.262	9.8395	83	16.2019	20.25	7.32718	11.25	2.86138	6.00511	0.449354	11.3488	1.92007	2.30903	0.401864	10.617	1.46877	5.11888	1.21706
153.876	4	69.5419	9.12494	105	10.5594	27	16.7332	20.5	5.5	6.46311	0.880265	10.4818	1.28393	2.36809	0.180827	14.0003	3.09	5.13223	0.918912
212.951	2	98.0133	6.30806	158	13	55	4	21.5	5.5	6.39359	0.0625529	11.7348	1.14656	2.37269	0.00231481	25.8887	0.289976	3.7837	0.20128
294.704	4	118.896	6.31546	176.5	14.8408	67.5	24.0156	25.5	8.7892	6.99921	0.658983	11.8427	1.13272	2.39854	0.296143	28.627	4.05359	4.22599	0.543691
