mass	count	L	L_std	numPerimeterPoints	numPerimeterPoints_std	numInsidePoints	numInsidePoints_std	numLeafPoints	numLeafPoints_std	avg_degree_perimeter	avg_degree_perimeter_std	avg_degree_inside	avg_degree_inside_std	avg_degree_leaf	avg_degree_leaf_std	area	area_std	perimeter_over_area	perimeter_over_area_std
4.31504	1	1.12128	0	3	0	1	0	1	0	3.66667	0	4	0	3	0	0.0467723	0	23.9732	0
5.97163	13	2.60448	0.637064	4.54545	0.49793	1	0	1	0	4.43182	0.448874	4.68182	0.440698	1.59091	0.97277	0.339681	0.165165	9.15813	3.20239
8.2642	26	3.6273	0.656422	5.90476	0.839771	1	0	1.5	0.57735	4.79161	0.466546	5.45238	0.911628	1.77381	0.725181	0.501591	0.177992	8.28068	2.88693
11.4369	62	5.06368	0.999006	8.01587	1.04452	1.61905	0.855488	1.82937	0.779608	5.51619	0.805115	6.83016	1.257	1.82937	0.623663	0.876264	0.25503	6.25559	1.61661
15.8276	88	7.12736	1.17376	11.2831	1.48408	2.22487	1.15094	2.30688	1.17484	5.79524	0.905241	7.84317	1.46684	1.85899	0.655923	1.3264	0.374236	6.00066	2.3691
21.904	88	9.55841	1.69919	15.1882	2.12206	3.66398	1.85048	3.1129	1.7338	6.22881	0.944201	8.91442	1.70792	2.11435	0.68199	1.94039	0.468748	5.27124	1.55367
30.3132	88	12.3726	2.51268	20.2292	3.18238	7.19643	3.2994	2.73363	1.57126	7.18454	1.12902	10.9236	1.89739	2.01913	0.758364	2.89273	0.6519	4.54525	1.27868
41.9508	74	16.617	3.53508	26.3286	4.56368	11.0818	3.86589	3.87736	1.98821	7.50603	1.12356	11.9132	2.10427	2.08507	0.532692	4.21847	0.799147	4.05997	0.926409
58.0561	54	21.0829	4.339	33.5595	5.72193	18.8889	6.82914	4.14286	2.68214	7.66595	0.933129	13.0563	2.6338	1.97526	0.472958	6.33569	1.14337	3.45862	0.971011
80.3444	38	28.2556	5.70274	44.7059	7.74893	30.3235	9.24971	4.44118	2.38181	8.07442	1.04254	14.5636	2.94133	2.25862	0.718062	8.93897	1.47217	3.2455	0.808308
111.189	38	37.9399	7.34867	59.9242	11.6652	44.0303	10.7991	6.25758	3.02295	8.5515	0.914897	15.281	2.95047	2.04418	0.552417	12.4533	1.45732	3.07508	0.635497
153.876	12	49.7136	10.9292	77.0909	16.9516	74.3182	19.7119	8	4.70976	8.84404	0.938716	18.3178	3.6282	2.0565	0.574897	17.2329	2.66548	2.92525	0.644748
212.951	7	59.5492	17.5107	95.2857	26.6443	115.571	18.6153	7.57143	4.49943	8.96517	0.840547	20.5877	3.96539	2.18384	0.654905	24.6576	2.77694	2.41494	0.631152
294.704	5	76.4999	7.25247	118.8	11.703	170.8	29.2055	7.2	2.92575	9.85126	0.956782	18.2588	1.07573	1.97818	0.263015	36.1601	3.13836	2.12819	0.244817
