mass	count	L	L_std	numPerimeterPoints	numPerimeterPoints_std	numInsidePoints	numInsidePoints_std	numLeafPoints	numLeafPoints_std	avg_degree_perimeter	avg_degree_perimeter_std	avg_degree_inside	avg_degree_inside_std	avg_degree_leaf	avg_degree_leaf_std	area	area_std	perimeter_over_area	perimeter_over_area_std
5.97163	16	2.71005	0.683515	4.26667	0.771722	1	0	1.4	0.711805	4.30889	0.522773	4.6	0.8	2.06667	1.06944	0.380858	0.171151	8.37835	3.09814
8.2642	35	3.59176	0.781421	5.84375	0.963696	1.01562	0.0869963	1.67188	0.94049	4.90201	0.546731	5.57812	0.781719	1.9375	0.713827	0.545366	0.235652	7.4425	2.33892
11.4369	120	5.12837	0.97463	8.29667	1.37809	1.49889	0.667845	1.72444	0.813995	5.55025	0.815119	6.98593	1.00959	1.99244	0.658417	0.911685	0.325396	6.25479	1.86227
15.8276	138	6.97173	1.44703	11.1543	1.48069	2.3297	1.17094	2.28803	1.08874	6.11586	0.863475	8.25553	1.29918	1.96533	0.598121	1.37694	0.42495	5.52542	1.47998
21.904	127	9.69263	1.95844	15.2106	2.06208	3.71663	1.69023	2.86268	1.4357	6.23458	1.07915	8.91744	1.64401	2.07872	0.739955	2.07992	0.510565	4.94885	1.26419
30.3132	98	13.4507	2.65085	21.3179	3.2823	6.62308	3.16839	2.72564	1.77216	6.87142	1.11107	10.557	2.17605	1.88937	0.672518	3.07713	0.665841	4.57088	1.17541
41.9508	90	15.9101	2.86419	25.5156	3.7257	12.4766	4.31616	3.48177	2.00263	7.71295	1.04113	12.4322	2.34706	1.96307	0.616969	4.40557	0.70166	3.73505	0.909715
58.0561	74	21.035	4.46739	33.2576	6.48875	20.8061	6.73988	3.68485	1.86154	8.05448	1.01619	13.9765	2.588	1.92281	0.539836	6.46984	1.27571	3.38508	0.913957
80.3444	42	26.8975	5.09603	43.3429	7.39283	32.2286	8.52672	4.54286	2.34938	8.47411	1.07557	15.2135	2.78543	2.22959	0.927028	8.7169	1.31031	3.14418	0.655304
111.189	23	37.9892	7.15518	59.8636	10.6229	43.1591	10.1258	5.11364	2.96162	8.32776	1.13342	16.0878	2.21607	2.28397	1.01757	12.1875	1.75106	3.1783	0.741306
153.876	15	46.1295	12.1752	71.6	16.4957	86.9333	22.5727	4.4	2.41661	9.6474	1.17085	18.0657	2.40277	1.98889	0.623511	19.3339	2.60849	2.44177	0.785469
212.951	3	64.7604	7.67327	104.667	12.9701	100.667	19.6016	15.6667	4.92161	9.25647	0.719348	16.6671	0.976824	2.28586	0.241619	23.6274	3.65464	2.80468	0.494946
294.704	1	82.5668	0	122	0	120	0	10	0	8.90984	0	15.1167	0	1.9	0	30.5002	0	2.70709	0
