mass	count	L	L_std	numPerimeterPoints	numPerimeterPoints_std	numInsidePoints	numInsidePoints_std	numLeafPoints	numLeafPoints_std	avg_degree_perimeter	avg_degree_perimeter_std	avg_degree_inside	avg_degree_inside_std	avg_degree_leaf	avg_degree_leaf_std	area	area_std	perimeter_over_area	perimeter_over_area_std
4.31504	1	2.0277	0	3	0	1	0	1	0	3.33333	0	3	0	1	0	0.184456	0	10.9929	0
5.97163	18	2.3306	0.628569	4.23529	0.644379	1	0	1.47059	0.696009	4.42647	0.502219	4.47059	0.696009	1.73529	1.10119	0.273103	0.169878	10.5379	3.7433
8.2642	30	3.43346	0.838128	5.74138	1.02234	1.06897	0.253395	1.86207	0.936764	4.97718	0.855657	5.37931	0.997023	1.62069	0.647196	0.494108	0.204613	7.63914	2.29251
11.4369	52	4.94464	0.999941	8.15351	1.34555	1.26316	0.470833	2.04825	1.30558	5.26855	0.798026	6.33699	0.93698	1.73156	0.675622	0.750073	0.232611	7.45392	2.31376
15.8276	46	6.79879	1.21373	10.9474	1.57609	1.86842	1.01751	3.13158	1.75351	5.61978	0.958431	7.17675	1.71192	2.11214	0.905834	1.14071	0.475991	7.29068	3.59023
21.904	45	9.47614	2.12061	15.35	2.7345	3.12917	2.05362	3.675	2.05715	6.07498	1.59485	8.59625	2.39499	1.93548	0.582556	1.81483	0.539007	5.63814	1.79163
30.3132	20	13.0275	2.14214	20.1	3.51994	3.9	2.62488	4.7	2.66646	5.77624	1.02874	8.24889	2.75158	2.01278	0.686308	2.36936	0.750134	5.99232	1.8611
41.9508	9	16.9994	4.54165	27.2222	4.58931	6	4.16333	8.33333	2.58199	5.9073	0.537736	9.91878	2.59723	2.25525	0.408235	3.07706	0.669101	5.72024	1.74986
58.0561	7	25.6866	4.95973	39.4286	7.79848	9	4.47214	9	3.4641	6.02266	0.886067	9.37962	2.04965	1.99103	0.55316	4.95042	1.06409	5.38322	1.34002
80.3444	1	33.5108	0	55	0	5	0	9	0	6.12727	0	8.6	0	2.44444	0	5.86811	0	5.71066	0
