mass	count	L	L_std	numPerimeterPoints	numPerimeterPoints_std	numInsidePoints	numInsidePoints_std	numLeafPoints	numLeafPoints_std	avg_degree_perimeter	avg_degree_perimeter_std	avg_degree_inside	avg_degree_inside_std	avg_degree_leaf	avg_degree_leaf_std	area	area_std	perimeter_over_area	perimeter_over_area_std
4.31504	2	1.60109	0.370254	3	0	1	0	1	0	3.5	0.166667	4	0	2.5	0.5	0.123711	0.0584246	14.8382	4.01472
5.97163	24	2.71327	0.421647	4.38636	0.475103	1.04545	0.208299	1.18182	0.385695	4.42386	0.560057	4.79545	0.807058	2.18182	1.37796	0.360567	0.135813	8.26472	2.08461
8.2642	52	3.42606	0.729638	5.77778	0.904038	1.12222	0.318949	1.63333	0.865384	5.00003	0.825046	5.57222	0.9897	1.9537	0.790483	0.51283	0.228728	7.94471	3.53007
11.4369	150	4.78831	0.918098	7.85407	1.16026	1.59085	0.639863	2.02256	1.11561	5.6501	0.92146	6.89055	1.2498	1.9281	0.68945	0.834217	0.261431	6.46157	2.03311
15.8276	123	7.10131	1.45211	11.5786	1.70578	2.11549	1.21399	2.16056	1.27011	6.04111	0.956834	8.02657	1.39192	1.88337	0.759252	1.30446	0.332402	5.8682	1.8884
21.904	152	9.64397	1.8987	15.5236	2.09683	3.59881	1.9151	2.54524	1.3368	6.4958	1.18978	9.28268	1.93614	2.19241	0.835768	1.88171	0.439881	5.48447	1.47988
30.3132	93	12.8119	2.76406	20.7279	3.39581	6.5026	3.50873	2.9401	1.96328	7.08879	1.34075	10.649	2.33398	2.06758	0.694531	2.80229	0.683013	4.87618	1.62449
41.9508	65	17.9635	3.1503	28.5601	4.16263	9.56522	4.20066	3.28478	1.92223	7.0716	1.16493	11.1211	2.39226	2.0922	0.518631	4.15946	0.959373	4.55676	1.256
58.0561	33	22.3732	4.82695	34.8667	6.02209	17.55	7.5015	4.2	2.2383	7.59162	1.61403	13.127	3.8829	2.15517	0.571165	5.94355	1.22215	3.87512	1.04169
80.3444	8	26.3778	6.0241	45	10.4762	31.875	12.7126	3.5	2.5	8.55006	1.43036	15.5278	3.46267	1.96042	0.811717	8.3979	1.30477	3.29491	1.23052
111.189	1	48.0283	0	73	0	25	0	7	0	6.83562	0	9.92	0	2.42857	0	12.5615	0	3.82345	0
153.876	4	51.1957	13.3762	81.25	18.8066	51.25	18.6464	8	2.23607	8.58056	1.20094	15.561	1.61254	2.20895	0.113112	14.267	1.28073	3.63904	1.01038
