mass	count	L	L_std	numPerimeterPoints	numPerimeterPoints_std	numInsidePoints	numInsidePoints_std	numLeafPoints	numLeafPoints_std	avg_degree_perimeter	avg_degree_perimeter_std	avg_degree_inside	avg_degree_inside_std	avg_degree_leaf	avg_degree_leaf_std	area	area_std	perimeter_over_area	perimeter_over_area_std
4.31504	3	1.22135	0.206247	3	0	1	0	1	0	3.44444	0.157135	3.66667	0.471405	2	0.816497	0.0693239	0.0275513	20.3942	7.01416
5.97163	21	2.69959	0.54169	4.21053	0.67504	1	0	1.34211	0.460338	4.22105	0.486336	4.44737	0.626072	1.74561	1.01648	0.369537	0.16343	8.18981	2.04105
8.2642	20	3.42979	0.59546	5.52778	0.889323	1.05556	0.229061	2.02778	0.978551	4.93307	0.64831	5.38889	0.842542	1.87037	0.961537	0.456227	0.215846	9.76277	5.88373
11.4369	40	4.59568	1.10839	7.56944	1.60361	1.20833	0.61661	2.63889	1.33131	5.19489	0.955732	6.21065	1.31754	1.67361	0.573453	0.7752	0.316523	6.64221	2.3446
15.8276	57	6.86162	1.54157	11.0519	2.02632	1.67778	0.864527	3.13704	1.87389	5.38125	0.970054	7.06963	1.53695	1.88107	0.719285	1.12582	0.419721	7.09012	2.81756
21.904	64	10.2387	1.86947	15.7442	2.71643	2.09302	0.983916	4.00388	2.29973	5.38474	0.885432	7.33915	1.5474	1.96528	0.54168	1.67129	0.460191	6.56906	1.42386
30.3132	43	13.5153	2.6985	20.9242	3.44023	3.60606	2.61046	4.89394	2.63645	5.52959	0.896118	8.09327	1.82329	1.96634	0.6027	2.34641	0.744213	6.35742	2.09376
41.9508	40	18.9415	3.64168	29.1923	4.29612	4.97436	3.48246	6.91026	3.37006	5.6875	1.02642	8.84996	2.04167	1.97287	0.530196	3.44062	0.825917	5.77595	1.61379
58.0561	17	27.3604	5.35013	41.1765	7.73255	9.23529	5.08203	7.11765	4.89757	6.28061	0.929075	9.83145	2.69879	1.96731	0.569003	5.29689	1.34011	5.51926	1.84801
80.3444	11	38.2167	6.74017	57	10.3221	11.6364	4.26982	10.3636	4.59788	5.98035	0.73795	9.66776	1.42408	2.20698	0.332264	7.51293	1.50933	5.20393	1.03761
111.189	5	50.2359	7.60613	75.8	9.49526	22.6	5.08331	11.4	5.31413	6.80376	0.424472	10.5173	1.35861	2.24024	0.397662	11.2725	2.26973	4.52888	0.537516
