mass	count	L	L_std	numPerimeterPoints	numPerimeterPoints_std	numInsidePoints	numInsidePoints_std	numLeafPoints	numLeafPoints_std	avg_degree_perimeter	avg_degree_perimeter_std	avg_degree_inside	avg_degree_inside_std	avg_degree_leaf	avg_degree_leaf_std	area	area_std	perimeter_over_area	perimeter_over_area_std
4.31504	1	1.77855	0	3	0	1	0	1	0	3.33333	0	3	0	1	0	0.139674	0	12.7335	0
5.97163	4	2.26571	0.238848	4	0.707107	1	0	1.75	0.829156	4.4625	0.376456	4.25	0.829156	1.79167	0.544862	0.268073	0.0687577	8.8074	1.41075
8.2642	8	3.17985	0.71764	5.78571	0.646813	1.42857	0.494872	1.71429	0.699854	5.53741	1.27547	6.21429	1.12938	2.60714	1.16387	0.5109	0.284849	7.46592	3.04692
11.4369	23	4.86338	0.780875	7.875	1.16055	1.3	0.556776	2.45	1.17154	5.37635	0.521284	6.6	1.13578	1.81381	0.520607	0.775902	0.215107	6.93327	2.44414
15.8276	21	7.10007	1.5465	11.4118	1.70842	2.26471	0.92542	2.11765	1.45045	5.80148	0.970833	8.18922	1.35254	1.63922	0.672255	1.31336	0.414421	5.80744	1.57075
21.904	31	9.55718	1.85228	15.2014	2.56218	3.9375	2.03773	3.02778	1.73717	6.27	1.13978	8.6272	1.83571	1.85937	0.545235	2.14149	0.567784	4.78899	1.40724
30.3132	27	13.8251	2.3984	22.4603	3.47436	4.65079	2.52967	3.09524	1.57071	6.32312	0.989673	9.45192	1.66707	2.37235	1.04714	2.67583	0.610546	5.42179	1.25081
41.9508	18	18.3791	3.39228	28.7353	4.08771	7.47059	5.05403	4.41176	2.99134	6.59627	1.27989	10.4838	2.9425	2.17955	0.409755	3.66507	0.906067	5.34638	1.60047
58.0561	11	24.6235	5.49755	37.8182	7.03004	11.4545	6.32978	4.45455	1.82725	6.88779	1.0693	11.3727	3.3976	2.38009	0.845583	5.07916	0.810987	5.02035	1.47248
80.3444	9	36.7237	4.46413	56.3333	6.39444	18.4444	8.38134	5.22222	2.48452	6.89802	0.822311	11.3864	2.8753	2.15813	0.395357	8.37601	1.26765	4.51456	1.04411
111.189	6	41.5585	6.04499	62.1667	6.9622	41.5	9.97914	8.83333	5.45945	7.91763	0.805385	13.6942	1.87623	2.28675	0.320958	13.4302	1.80833	3.12106	0.439722
153.876	4	47.7858	6.74014	72.75	8.61322	67.75	21.7529	10	6.81909	7.77946	0.909519	14.4386	1.71322	1.72045	0.502612	18.251	3.89807	2.77001	0.87612
212.951	7	73.3657	14.229	109.571	20.6941	90.2857	19.5208	9.71429	3.69224	8.19584	0.883262	17.2707	3.17522	2.30942	0.328036	24.1774	1.43057	3.03136	0.55903
294.704	6	86.8626	30.8589	136.667	42.5545	155.333	36.0863	10	4.89898	8.9316	0.836644	17.7377	4.14353	2.21275	0.479798	36.8399	3.43533	2.32617	0.72502
407.844	3	131.795	5.71283	205.333	5.24934	168.333	14.6363	16	4.54606	8.25874	0.153429	16.3003	1.04959	2.46013	0.134951	46.6166	3.49772	2.83535	0.120454
