mass	count	degree	degree_std	apl	apl_std
1.1764	2582	0	0	0	0
2.25304	927	1	0	1	0
3.11801	539	1.68818	0.172096	1.15591	0.0860465
4.31504	573	2.51025	0.306156	1.31134	0.130948
5.97163	323	3.34616	0.735297	1.52853	0.239814
8.2642	204	3.88114	0.688187	1.70999	0.276174
11.4369	224	4.61937	0.951686	1.88161	0.264601
15.8276	198	5.50742	1.00336	2.12586	0.334554
21.904	149	6.13265	1.19062	2.47143	0.391115
30.3132	132	7.58522	1.44073	2.6946	0.456756
41.9508	108	8.25584	1.78941	3.08149	0.646237
58.0561	89	9.19925	2.22081	3.53446	0.791517
80.3444	49	10.4282	2.27179	4.03464	0.838177
111.189	57	11.1325	2.26	4.65019	0.893981
153.876	26	12.0426	2.92365	6.00428	1.3271
212.951	14	15.0237	3.80151	5.70057	1.38031
294.704	6	13.9984	1.83936	6.67644	1.05719
