mass	count	degree	degree_std	apl	apl_std
1.1764	1155	0	0	0	0
2.25304	411	1	0	1	0
3.11801	204	1.70049	0.247256	1.14975	0.123626
4.31504	249	2.48907	0.458241	1.31252	0.171388
5.97163	128	3.26819	0.725778	1.53661	0.237782
8.2642	95	3.85406	1.11712	1.75836	0.335485
11.4369	91	4.45988	0.979163	1.99184	0.40577
15.8276	67	5.03015	1.02027	2.30352	0.416967
21.904	69	5.56078	1.26384	2.77766	0.593738
30.3132	46	6.3367	1.48613	3.21301	0.768137
41.9508	33	7.42328	2.08212	3.37844	0.670834
58.0561	25	7.79886	1.89894	4.15323	1.03402
80.3444	25	9.11694	2.75555	4.76445	1.06553
111.189	16	9.3685	1.45556	5.49829	1.00254
153.876	16	9.47123	2.42051	6.39929	1.69438
212.951	18	11.0842	2.23546	6.9103	1.78419
294.704	36	12.6442	2.94783	7.81835	1.88822
407.844	50	11.6302	2.65045	10.6544	2.12464
