mass	count	degree	degree_std	apl	apl_std
1.1764	3106	0	0	0	0
2.25304	1137	1	0	1	0
3.11801	642	1.69817	0.155284	1.15091	0.0776408
4.31504	625	2.42829	0.283587	1.33898	0.124818
5.97163	378	3.31934	0.548948	1.51096	0.196078
8.2642	263	3.91369	0.681622	1.66932	0.237082
11.4369	364	4.73784	0.706928	1.83348	0.190109
15.8276	273	5.50925	0.734286	2.07204	0.251243
21.904	209	6.36388	1.48575	2.39745	0.45428
30.3132	124	7.29145	1.43188	2.7234	0.445615
41.9508	116	8.81264	1.73704	2.90064	0.52181
58.0561	90	10.1895	2.12909	3.32139	0.708977
80.3444	58	10.7369	2.29423	3.91753	0.816676
111.189	32	11.7492	2.32377	4.58743	1.08129
153.876	17	13.7641	2.6296	4.65067	1.07269
212.951	4	13.2123	2.32497	6.72568	1.70244
294.704	3	11.7721	0.973599	8.08537	0.753459
