mass	count	degree	degree_std	apl	apl_std
1.1764	1706	0	0	0	0
2.25304	577	1	0	1	0
3.11801	311	1.692	0.221743	1.154	0.11087
4.31504	310	2.27708	0.435359	1.38959	0.183429
5.97163	182	3.09415	0.650703	1.5857	0.243054
8.2642	109	3.57307	0.917758	1.80186	0.355496
11.4369	124	4.01953	1.11259	2.12313	0.426163
15.8276	88	4.65155	1.29328	2.46883	0.525126
21.904	68	5.18183	1.41711	2.8968	0.619515
30.3132	65	6.11557	1.60225	3.27306	0.76739
41.9508	32	6.31218	1.59965	3.84021	0.812584
58.0561	34	7.87076	1.87621	4.25525	0.99936
80.3444	18	8.60703	2.68971	5.29235	1.27766
111.189	14	8.4019	2.44005	6.1418	1.779
153.876	23	8.93919	1.97976	6.97845	1.78475
212.951	27	9.62285	2.23982	8.22424	2.26131
294.704	36	9.68412	1.62993	10.0754	2.11808
407.844	36	9.55945	2.12127	12.712	2.79321
