mass	count	degree	degree_std	apl	apl_std
1.1764	6567	0	0	0	0
2.25304	2282	1	0	1	0
3.11801	1186	1.70531	0.0990804	1.14734	0.0495394
4.31504	1251	2.46888	0.207373	1.31372	0.0759577
5.97163	670	3.32858	0.411523	1.5073	0.142043
8.2642	400	4.0107	0.57492	1.65684	0.178444
11.4369	442	4.75282	0.743052	1.8663	0.241433
15.8276	298	5.58873	1.09693	2.13077	0.310748
21.904	227	6.6115	1.36018	2.40372	0.395742
30.3132	137	7.64041	1.91972	2.78406	0.562785
41.9508	77	8.02417	1.72417	3.24793	0.583143
58.0561	40	9.58895	2.94947	3.73933	0.883474
80.3444	13	11.1436	2.96422	4.07053	1.32722
111.189	1	7.27619	nan	5.77473	nan
153.876	4	10.8472	2.68741	6.10465	1.93169
