mass	count	degree	degree_std	apl	apl_std
1.1764	12100	0	0	0	0
2.25304	3487	1	0	1	0
3.11801	1443	1.65344	0.0879791	1.17328	0.0439889
4.31504	1439	2.27577	0.150061	1.38516	0.0704662
5.97163	588	2.88277	0.337747	1.682	0.15489
8.2642	304	3.31065	0.561263	1.91976	0.248314
11.4369	337	3.60531	0.691788	2.29008	0.327092
15.8276	189	4.12969	0.863122	2.68832	0.4486
21.904	115	4.57248	1.09369	3.15714	0.601108
30.3132	79	4.9488	1.26316	3.77496	0.733156
41.9508	51	5.42967	1.3111	4.44393	1.03216
58.0561	26	6.19364	1.27819	4.80073	0.831573
80.3444	20	5.86381	1.05144	6.53109	1.12041
111.189	7	7.08664	0.970275	6.49126	0.7039
153.876	1	6.97059	nan	8.82887	nan
