mass	count	degree	degree_std	apl	apl_std
1.1764	2646	0	0	0	0
2.25304	1001	1	0	1	0
3.11801	481	1.70201	0.173625	1.14899	0.0868114
4.31504	487	2.28707	0.29471	1.39738	0.139955
5.97163	226	2.82405	0.605551	1.70968	0.278307
8.2642	146	3.16344	0.80311	2.00175	0.35035
11.4369	137	3.63483	0.852051	2.23679	0.395518
15.8276	79	3.88287	0.897701	2.8135	0.534386
21.904	59	4.24283	1.06177	3.29939	0.672786
30.3132	57	4.5406	0.75272	3.91924	0.682888
41.9508	35	5.14744	0.957235	4.64844	0.814016
58.0561	18	5.01408	0.77049	5.82885	1.25345
80.3444	25	6.00038	1.19696	6.2362	0.863369
111.189	10	6.08656	0.942803	7.81254	1.53191
153.876	15	6.38886	1.18976	8.70205	1.84425
212.951	28	6.64309	1.01661	10.6728	2.55497
294.704	34	6.96586	1.06183	12.4668	2.77892
407.844	35	7.02816	0.854833	14.0823	1.89775
