mass	count	cc	cc_std
1.1764	6567	0	0
2.25304	2282	0	0
3.11801	1186	0.557963	0.14862
4.31504	1251	0.650518	0.0990431
5.97163	670	0.682092	0.0972535
8.2642	400	0.691572	0.0876019
11.4369	442	0.673105	0.0672077
15.8276	298	0.668611	0.0727473
21.904	227	0.682493	0.0580034
30.3132	137	0.669701	0.055564
41.9508	77	0.656303	0.0437296
58.0561	40	0.656237	0.0441859
80.3444	13	0.662638	0.0277494
111.189	1	0.625512	nan
153.876	4	0.648571	0.00671882
