mass	count	cc	cc_std
1.1764	1155	0	0
2.25304	411	0	0
3.11801	204	0.550742	0.370882
4.31504	249	0.637585	0.24006
5.97163	128	0.663789	0.161431
8.2642	95	0.663581	0.140747
11.4369	91	0.656965	0.118832
15.8276	67	0.645041	0.0843813
21.904	69	0.626893	0.0778979
30.3132	46	0.651056	0.0708133
41.9508	33	0.626673	0.0483437
58.0561	25	0.634404	0.0373463
80.3444	25	0.645928	0.0361831
111.189	16	0.63132	0.0291152
153.876	16	0.608594	0.0221856
212.951	18	0.615498	0.0149157
294.704	36	0.627308	0.0139628
407.844	50	0.623797	0.0141564
