k/<k>	mean_density	std_density
0.250000	2.90799428e-01	2.45395024e-01
0.450000	5.06512398e-01	4.45125599e-01
0.650000	6.04640134e-01	4.40251401e-01
0.850000	9.81094533e-01	6.57373307e-01
1.050000	6.36245243e-01	4.83838355e-01
1.250000	7.63900145e-01	6.17505208e-01
1.450000	5.68574443e-01	4.34111694e-01
1.650000	5.07540868e-01	2.78997764e-01
1.850000	2.26369098e-01	1.87519041e-01
2.050000	5.51804049e-02	1.43731625e-01
2.250000	1.91535808e-02	5.72367753e-02
0.150000	3.45566888e-01	2.69275474e-01
0.550000	6.72992013e-01	5.24757708e-01
0.750000	7.21379038e-01	4.91983646e-01
0.950000	5.96145723e-01	5.55012642e-01
1.150000	4.73803536e-01	5.06919751e-01
1.550000	4.71392034e-01	3.94109457e-01
1.750000	2.65172443e-01	2.04200441e-01
1.950000	1.41159863e-01	1.48717085e-01
2.150000	4.20817821e-02	8.46859126e-02
0.350000	4.86963306e-01	3.72077821e-01
1.350000	5.86498620e-01	5.24835117e-01
2.350000	1.30153673e-02	3.54483944e-02
0.050000	2.38191090e-02	8.83473253e-02
