k/<k>	mean_density	std_density
0.150000	3.37677781e-01	1.85504134e-01
0.350000	4.07981913e-01	2.78986398e-01
0.550000	5.56205388e-01	3.53225264e-01
0.750000	7.09580943e-01	3.35541160e-01
0.950000	6.99808215e-01	4.25169826e-01
1.150000	6.48042395e-01	4.49820855e-01
1.350000	7.33985523e-01	4.64664269e-01
1.750000	3.17590357e-01	1.88319013e-01
1.950000	1.14119634e-01	1.74727557e-01
0.250000	4.01744211e-01	2.45773579e-01
0.450000	5.10450094e-01	2.75883276e-01
0.650000	6.75519469e-01	3.85783734e-01
1.050000	6.99498148e-01	4.03130692e-01
1.250000	7.83109685e-01	4.84210240e-01
1.450000	6.05528353e-01	3.80667549e-01
1.550000	4.40617273e-01	3.18722418e-01
1.850000	1.41080385e-01	1.55703534e-01
0.850000	6.59257172e-01	4.69471615e-01
2.150000	4.64968116e-02	1.07055578e-01
2.250000	1.77957708e-02	5.21441350e-02
0.050000	3.60372466e-02	8.59060823e-02
1.650000	3.61939830e-01	2.86251028e-01
2.050000	8.02285302e-02	1.40065218e-01
2.450000	7.06829056e-03	3.70030216e-02
2.350000	3.48639665e-03	1.72402342e-02
2.550000	5.15018607e-03	2.55824267e-02
