k/<k>	mean_density	std_density
0.250000	3.72821548e-01	2.28169469e-01
0.350000	5.60345842e-01	3.63866408e-01
0.450000	5.03177015e-01	3.17395728e-01
0.550000	7.06858473e-01	3.63912247e-01
0.650000	6.20001250e-01	3.13007616e-01
0.750000	6.42550987e-01	3.69315161e-01
0.850000	5.74835706e-01	4.80706998e-01
0.950000	6.68591947e-01	4.12378549e-01
1.050000	7.89367988e-01	5.32466295e-01
1.150000	6.59535187e-01	3.82389278e-01
1.250000	6.31330913e-01	4.98113013e-01
1.350000	5.79203945e-01	2.92576038e-01
1.450000	7.04801550e-01	4.26859493e-01
1.650000	4.00555037e-01	1.93472459e-01
1.750000	3.04304694e-01	2.45872619e-01
1.550000	4.73875515e-01	3.44921529e-01
0.150000	2.59201328e-01	1.87634233e-01
1.850000	1.81533677e-01	1.72651999e-01
0.050000	7.68585630e-02	1.10373514e-01
1.950000	1.41776220e-01	2.16386741e-01
2.050000	7.40281318e-02	1.28109278e-01
2.250000	1.16184545e-02	3.91604637e-02
2.350000	2.06515467e-02	6.12467645e-02
2.550000	4.08496732e-03	2.41669926e-02
2.150000	3.80895156e-02	8.88861846e-02
