k/<k>	mean_density	std_density
0.050000	1.11774974e-01	9.00732579e-02
0.150000	2.54072072e-01	1.35375040e-01
0.250000	4.50987536e-01	2.18915195e-01
0.350000	5.11872824e-01	2.80595433e-01
0.450000	5.49203350e-01	2.91716064e-01
0.550000	7.16644900e-01	3.23545760e-01
0.650000	6.02086534e-01	2.33509585e-01
0.750000	6.31967765e-01	2.82944621e-01
0.850000	7.39884626e-01	3.51293189e-01
0.950000	6.54976513e-01	3.37344078e-01
1.050000	6.79813817e-01	3.22837392e-01
1.150000	6.27095671e-01	2.94750480e-01
1.250000	5.77824382e-01	2.97018316e-01
1.350000	5.24555318e-01	2.62991594e-01
1.450000	4.91207374e-01	2.46768253e-01
1.550000	4.94332342e-01	2.85025469e-01
1.650000	3.40988542e-01	2.27071509e-01
1.750000	3.29393538e-01	1.43788657e-01
1.850000	2.16698011e-01	1.56498053e-01
1.950000	2.17129484e-01	1.88646450e-01
2.050000	1.15504509e-01	1.37428992e-01
2.150000	8.01301899e-02	8.12572750e-02
2.250000	3.32385880e-02	5.07912424e-02
2.350000	3.32994004e-02	8.34331471e-02
2.550000	2.00301806e-03	9.18401506e-03
2.450000	1.33147207e-02	4.54463971e-02
