k/<k>	mean_density	std_density
0.250000	2.52469842e-01	3.99328154e-01
0.550000	7.88648720e-01	6.17277318e-01
0.750000	7.65695645e-01	5.22937691e-01
1.050000	7.30591039e-01	6.61076129e-01
1.250000	6.85218167e-01	5.25454581e-01
1.550000	6.46049988e-01	5.10071481e-01
2.050000	2.69296120e-02	8.21965958e-02
0.150000	2.81901798e-01	2.14652524e-01
0.350000	5.79971198e-01	4.98739180e-01
0.950000	9.00745831e-01	7.21799981e-01
1.450000	4.85595506e-01	4.32623431e-01
1.650000	3.71940824e-01	4.01410452e-01
1.850000	1.09108262e-01	1.59276470e-01
0.450000	3.77112622e-01	3.61712321e-01
0.650000	5.04683706e-01	4.67461951e-01
0.850000	6.19593394e-01	6.76793560e-01
1.350000	8.84177386e-01	5.85081182e-01
1.750000	2.82119096e-01	3.39958518e-01
1.150000	5.60217648e-01	6.28070143e-01
1.950000	1.11510679e-01	2.29742892e-01
2.150000	1.99627362e-02	7.94169032e-02
2.250000	1.57563025e-02	9.05130669e-02
