k/<k>	mean_density	std_density
0.250000	3.46464749e-01	2.26154023e-01
0.450000	5.84279640e-01	3.67900319e-01
0.550000	5.63235747e-01	3.73397413e-01
0.750000	7.31005151e-01	3.90308872e-01
0.850000	6.59348940e-01	4.38616680e-01
1.050000	7.85750387e-01	5.50977623e-01
1.150000	6.89989419e-01	4.04403848e-01
1.350000	6.05255489e-01	4.58560878e-01
1.450000	5.34865242e-01	3.32255953e-01
1.650000	2.82142068e-01	2.30214475e-01
1.750000	3.35749913e-01	2.86341945e-01
0.650000	6.20064370e-01	3.93919337e-01
0.950000	7.06567379e-01	4.12888684e-01
1.250000	5.95251977e-01	5.29737613e-01
1.850000	2.23522883e-01	1.93946483e-01
0.150000	2.90805638e-01	1.71324592e-01
1.550000	5.06805773e-01	3.18588010e-01
0.050000	1.46263274e-02	6.08786038e-02
0.350000	5.89176077e-01	2.91480197e-01
1.950000	1.07363534e-01	1.36253106e-01
2.050000	8.77370526e-02	1.56298874e-01
2.150000	8.34854236e-02	1.55072693e-01
2.250000	2.43859575e-02	6.97732766e-02
2.350000	2.25174160e-02	6.87691330e-02
2.450000	9.60344787e-03	3.57630437e-02
