k/<k>	mean_density	std_density
0.150000	3.05719226e-01	1.02084603e-01
0.250000	2.65921053e-01	2.40313298e-01
0.450000	6.21695490e-01	2.43604343e-01
0.550000	5.81722098e-01	3.46906527e-01
0.750000	7.51836193e-01	3.64326422e-01
0.850000	5.23537737e-01	3.97143066e-01
0.950000	8.67225490e-01	3.57828576e-01
1.150000	5.69051582e-01	3.82337135e-01
1.250000	6.59230511e-01	2.80190417e-01
1.450000	2.99543353e-01	2.73191903e-01
1.550000	4.22905171e-01	1.86709277e-01
1.650000	3.04209833e-01	1.60473657e-01
1.850000	2.60163501e-01	1.13780871e-01
1.950000	1.15720428e-01	1.41226040e-01
2.150000	9.23682781e-02	7.43536658e-02
2.250000	4.86749474e-02	5.34999486e-02
2.450000	3.94239012e-02	4.62991949e-02
2.550000	1.35483617e-02	3.32111657e-02
2.650000	9.53481620e-03	1.91321866e-02
0.350000	5.65385856e-01	2.18689081e-01
0.650000	9.22446504e-01	2.79133670e-01
1.050000	7.37171789e-01	2.69325896e-01
1.350000	5.68126287e-01	2.07145542e-01
1.750000	2.63943417e-01	1.54707322e-01
2.050000	1.25134479e-01	8.98848471e-02
2.350000	4.89435918e-02	4.99254795e-02
2.750000	6.90702583e-03	2.02680778e-02
2.950000	2.11284943e-03	8.37379178e-03
2.850000	5.94059916e-03	1.86908973e-02
3.350000	1.85563184e-03	1.06597934e-02
