k/<k>	mean_density	std_density
0.050000	8.39225028e-02	5.99095660e-02
0.150000	2.47705471e-01	1.42848302e-01
0.250000	4.95399771e-01	2.60966723e-01
0.350000	5.19996947e-01	2.45597200e-01
0.450000	6.87314933e-01	3.10582930e-01
0.550000	6.71112068e-01	3.28267490e-01
0.650000	5.16294434e-01	2.92723111e-01
0.750000	7.76047451e-01	3.22539601e-01
0.850000	7.19719578e-01	3.22439560e-01
0.950000	6.81018090e-01	3.60156189e-01
1.050000	5.98024282e-01	3.12766260e-01
1.150000	6.63153997e-01	2.55294060e-01
1.250000	5.47914053e-01	3.13623619e-01
1.350000	4.77946854e-01	2.95635530e-01
1.450000	4.36805204e-01	2.58007614e-01
1.550000	4.21985174e-01	2.70005811e-01
1.650000	3.47457844e-01	1.65194987e-01
1.750000	3.00853055e-01	1.37160617e-01
1.850000	2.08504135e-01	1.49707489e-01
1.950000	1.80382394e-01	9.94286604e-02
2.050000	1.49654784e-01	1.38158213e-01
2.150000	9.78767955e-02	8.75598298e-02
2.250000	5.49160995e-02	1.03394849e-01
2.350000	5.09742882e-02	7.39111884e-02
2.450000	2.71803735e-02	5.90720357e-02
2.550000	9.42680110e-03	2.07955198e-02
2.650000	1.13359411e-02	3.57996611e-02
2.750000	8.40166882e-03	3.42963041e-02
2.850000	8.67501079e-03	3.13617584e-02
