k/<k>	mean_density	std_density
0.150000	4.22853390e-01	2.49309635e-01
0.350000	4.14702831e-01	2.49678561e-01
0.550000	7.33389161e-01	3.24897860e-01
0.750000	7.82150331e-01	3.87674934e-01
0.850000	7.08230294e-01	3.73163739e-01
1.050000	5.59149232e-01	4.15073660e-01
1.250000	6.02335922e-01	4.05605332e-01
1.450000	4.65929913e-01	2.95193060e-01
1.550000	4.33055499e-01	3.41026329e-01
1.750000	2.65103031e-01	2.51608949e-01
1.950000	2.69305987e-01	2.14145506e-01
0.250000	3.72665929e-01	2.56479809e-01
0.450000	5.00892141e-01	3.77945196e-01
0.650000	6.95695954e-01	4.12922240e-01
0.950000	7.32529569e-01	4.43017785e-01
1.150000	6.26418453e-01	4.99155211e-01
1.350000	4.19948071e-01	3.02703231e-01
1.650000	4.10465404e-01	2.31918403e-01
1.850000	2.05836625e-01	1.39715769e-01
2.050000	1.87832850e-01	1.53678804e-01
2.150000	9.28539341e-02	1.20141732e-01
2.450000	8.44594595e-03	3.27110080e-02
2.250000	3.11920171e-02	6.70096703e-02
0.050000	4.55766545e-02	8.88980045e-02
2.350000	1.34408602e-02	5.20562278e-02
