k/<k>	mean_density	std_density
0.150000	3.58034122e-01	1.79717299e-01
0.250000	3.88269930e-01	2.20201418e-01
0.350000	4.92243727e-01	2.74853947e-01
0.450000	7.43865547e-01	3.22519736e-01
0.550000	6.48423644e-01	2.53905944e-01
0.750000	6.33004743e-01	2.83137656e-01
0.850000	6.09796024e-01	3.29126875e-01
0.950000	6.30417826e-01	2.82511357e-01
1.050000	5.51493316e-01	2.84286213e-01
1.150000	5.24490255e-01	2.95463347e-01
1.250000	5.20543265e-01	2.81926192e-01
1.450000	4.87644490e-01	2.57274732e-01
1.550000	3.39011231e-01	1.97474998e-01
1.650000	4.28724690e-01	2.62131884e-01
1.750000	3.74851796e-01	2.36660203e-01
1.850000	2.92818278e-01	1.84997550e-01
2.050000	1.42019740e-01	1.51265936e-01
2.150000	1.14175780e-01	1.31971720e-01
2.250000	7.07865816e-02	1.01006346e-01
2.350000	4.02396244e-02	7.76842174e-02
2.450000	1.13040244e-02	3.45093724e-02
2.550000	1.68010753e-03	9.20232792e-03
0.050000	1.11272076e-01	1.07694135e-01
0.650000	8.04027364e-01	3.49945960e-01
1.350000	4.43248231e-01	3.45573713e-01
1.950000	2.37613587e-01	1.61995135e-01
