k/<k>	mean_density	std_density
0.150000	1.90476190e-01	0.00000000e+00
0.250000	1.90476190e-01	0.00000000e+00
0.450000	6.66666667e-01	0.00000000e+00
0.550000	2.85714286e-01	0.00000000e+00
0.650000	1.61904762e+00	0.00000000e+00
0.850000	1.80952381e+00	0.00000000e+00
0.950000	9.52380952e-01	0.00000000e+00
1.050000	8.57142857e-01	0.00000000e+00
1.250000	9.52380952e-01	0.00000000e+00
1.350000	7.61904762e-01	0.00000000e+00
1.550000	6.66666667e-01	0.00000000e+00
1.650000	5.71428571e-01	0.00000000e+00
1.750000	4.76190476e-01	0.00000000e+00
