k/<k>	mean_density	std_density
0.150000	2.74626811e-01	1.46853995e-01
0.250000	3.68679213e-01	1.51071236e-01
0.350000	4.93691018e-01	2.61437822e-01
0.450000	7.40220528e-01	3.21371850e-01
0.550000	7.21992071e-01	3.82525999e-01
0.650000	5.86576829e-01	2.88014422e-01
0.750000	6.20806988e-01	3.62015821e-01
0.850000	7.25709864e-01	3.64374200e-01
0.950000	8.09270230e-01	4.03820751e-01
1.050000	6.24911686e-01	3.77183593e-01
1.150000	6.82466462e-01	3.72749215e-01
1.250000	5.06201077e-01	2.11764640e-01
1.350000	6.62815759e-01	2.89402474e-01
1.450000	3.83278525e-01	1.68516421e-01
1.550000	4.30753626e-01	2.41669074e-01
1.650000	3.12790410e-01	1.56122560e-01
1.850000	2.23903108e-01	1.68935489e-01
1.950000	1.83368953e-01	9.51538235e-02
2.050000	1.32753006e-01	1.16507273e-01
2.250000	7.07696596e-02	1.08366207e-01
1.750000	2.14424714e-01	1.36695285e-01
2.150000	1.06304096e-01	1.40129128e-01
2.350000	2.24732863e-02	4.03884038e-02
2.450000	5.69255016e-02	1.20901833e-01
2.650000	6.19916292e-03	1.88658474e-02
0.050000	3.19611963e-02	5.62722437e-02
2.550000	6.12621983e-03	1.84070731e-02
