k/<k>	mean_density	std_density
0.150000	8.21320668e-02	1.54104378e-01
0.350000	2.26917920e-01	3.64200746e-01
0.550000	9.84260236e-01	7.54324794e-01
0.750000	7.76649104e-01	9.22013854e-01
0.950000	6.75120063e-01	8.91217359e-01
1.150000	9.30288199e-01	9.41414333e-01
1.350000	7.31015790e-01	8.00429289e-01
1.550000	3.49806788e-01	4.31209734e-01
0.250000	4.19444171e-01	3.05171132e-01
0.850000	8.68217786e-01	7.58315900e-01
1.450000	6.25248673e-01	6.12591380e-01
1.750000	3.69278845e-01	3.25818682e-01
1.650000	2.32051180e-01	3.75703567e-01
0.450000	4.27334629e-01	4.83747865e-01
0.650000	5.24703442e-01	6.49418830e-01
1.050000	7.89286078e-01	8.06586458e-01
1.250000	7.52916548e-01	7.29942811e-01
1.950000	9.89035299e-02	1.49204541e-01
2.150000	9.71542332e-03	5.16300532e-02
2.350000	7.91052168e-03	3.58399433e-02
2.050000	6.00201770e-02	1.94779887e-01
1.850000	3.76966783e-02	1.32499771e-01
2.450000	5.61876668e-03	2.65503750e-02
2.250000	1.54633817e-02	7.04904421e-02
