k/<k>	mean_density	std_density
0.150000	2.89855072e-01	0.00000000e+00
0.350000	1.15942029e+00	0.00000000e+00
0.550000	1.15942029e+00	0.00000000e+00
0.650000	1.44927536e+00	0.00000000e+00
0.850000	1.44927536e+00	0.00000000e+00
1.050000	7.24637681e-01	0.00000000e+00
1.250000	1.01449275e+00	0.00000000e+00
1.350000	7.24637681e-01	0.00000000e+00
1.550000	2.89855072e-01	0.00000000e+00
1.750000	5.79710145e-01	0.00000000e+00
1.850000	7.24637681e-01	0.00000000e+00
2.050000	1.44927536e-01	0.00000000e+00
2.250000	2.89855072e-01	0.00000000e+00
