k/<k>	mean_density	std_density
0.050000	1.09022761e-01	6.91993356e-02
0.150000	2.65570376e-01	1.20379101e-01
0.250000	4.17471280e-01	1.63421909e-01
0.350000	5.64587667e-01	1.97369886e-01
0.450000	6.06504783e-01	2.29230703e-01
0.550000	6.89870110e-01	2.45064641e-01
0.650000	6.74764633e-01	2.02357978e-01
0.750000	6.66454133e-01	1.93147731e-01
0.850000	6.95082724e-01	2.20107435e-01
0.950000	7.13821351e-01	2.41497799e-01
1.050000	7.17426966e-01	2.75419381e-01
1.150000	5.86380449e-01	2.54481734e-01
1.250000	5.40219171e-01	2.43599678e-01
1.350000	4.68105182e-01	2.02059031e-01
1.450000	4.26607948e-01	1.94606619e-01
1.550000	3.57977174e-01	1.39191747e-01
1.650000	3.56718108e-01	1.48957701e-01
1.750000	2.79499880e-01	1.45805617e-01
1.850000	2.40362405e-01	1.12696677e-01
1.950000	1.67146073e-01	1.16401345e-01
2.050000	1.30708252e-01	9.25403726e-02
2.150000	1.06353260e-01	9.47919380e-02
2.250000	6.75855832e-02	5.25223801e-02
2.350000	5.67434374e-02	5.67044911e-02
2.450000	3.51483258e-02	3.95612516e-02
2.550000	2.39398426e-02	3.23914370e-02
2.650000	1.48299106e-02	2.85014893e-02
2.750000	1.05607373e-02	2.54102228e-02
3.050000	2.56797892e-03	9.17380483e-03
2.950000	1.48695846e-03	5.77952539e-03
2.850000	3.60845793e-03	9.98655173e-03
3.150000	1.93950357e-03	1.03678031e-02
3.250000	9.34579439e-04	6.54205607e-03
