k/<k>	mean_density	std_density
0.150000	1.45898274e-01	6.91952915e-02
0.250000	3.01926110e-01	1.77671024e-01
0.350000	4.95373235e-01	2.34011299e-01
0.450000	6.35962005e-01	2.83309130e-01
0.550000	7.00651611e-01	4.11942967e-01
0.650000	7.07993223e-01	3.64937559e-01
0.750000	6.66435082e-01	4.69789179e-01
0.850000	6.98538890e-01	4.28652912e-01
0.950000	6.09330645e-01	5.07984631e-01
1.050000	6.19866436e-01	4.34019070e-01
1.150000	5.41212836e-01	2.79568419e-01
1.250000	6.65365582e-01	3.41665271e-01
1.350000	7.70393158e-01	3.00047936e-01
1.450000	6.77033527e-01	3.46248396e-01
1.550000	4.50767830e-01	3.21998680e-01
1.650000	4.04110736e-01	3.80638558e-01
1.750000	3.93557689e-01	3.41337275e-01
1.850000	2.41588336e-01	2.60907599e-01
1.950000	5.13846956e-02	7.41442325e-02
2.050000	5.26750577e-02	1.15333720e-01
2.150000	2.09556937e-02	4.70911943e-02
0.050000	1.27310874e-01	1.87074533e-01
2.350000	2.16684724e-02	7.50617901e-02
