mass	count	area	area_std
2.25304	123	4.37573	0.10408
3.11801	73	5.51584	0.148484
4.31504	55	6.6583	0.263794
5.97163	37	7.92545	0.319485
8.2642	13	10.7109	2.44736
11.4369	21	11.7804	0.927247
15.8276	17	15.2911	1.36933
21.904	9	18.3419	1.9488
30.3132	5	20.5047	2.51007
41.9508	2	25.8438	1.48316
58.0561	2	26.4775	2.57387
80.3444	2	50.7925	7.00036
