mass	count	area	area_std
2.25304	41	4.46825	0.148279
3.11801	18	5.17757	0.511944
4.31504	30	6.72773	0.221707
5.97163	19	9.02559	0.976249
8.2642	11	9.41281	1.18305
11.4369	4	11.9104	1.87852
15.8276	8	14.7674	3.29878
21.904	11	17.8352	2.68132
30.3132	4	23.2621	3.50077
41.9508	4	34.7525	7.15592
58.0561	6	34.8372	5.10857
111.189	6	58.2462	8.17941
294.704	1	101.18	nan
