mass	count	area	area_std
2.25304	82	4.33157	0.0599813
3.11801	41	5.34254	0.228994
4.31504	43	6.61165	0.373552
5.97163	31	8.58387	0.904295
8.2642	18	10.4872	0.642136
11.4369	15	11.8479	1.9583
15.8276	14	13.8607	0.79116
21.904	12	17.3965	2.73042
30.3132	5	23.1054	1.98583
41.9508	5	28.4928	3.2509
58.0561	1	41.41	nan
80.3444	4	46.1456	5.14682
111.189	1	44.165	nan
