mass	count	area	area_std
2.25304	29	4.21953	0.188907
3.11801	15	5.47796	0.206514
4.31504	9	7.31391	1.09883
5.97163	9	9.29344	0.34737
8.2642	5	10.2233	0.624475
11.4369	7	14.2542	1.1298
15.8276	4	16.3412	1.66022
21.904	1	14.87	nan
30.3132	1	24.8525	nan
41.9508	2	35.0725	6.81297
58.0561	2	34.6912	9.67145
80.3444	1	46.1575	nan
153.876	1	107.403	nan
212.951	4	130.858	37.2462
407.844	2	189.88	22.9244
