mass	count	area	area_std
2.25304	166	4.33454	0.0388146
3.11801	71	5.4563	0.174282
4.31504	69	6.70337	0.128669
5.97163	32	8.7888	0.425704
8.2642	17	11.2078	0.90408
11.4369	12	12.2553	1.53154
15.8276	13	17.0656	1.33753
21.904	6	22.4814	1.27365
30.3132	5	26.0529	0.570061
41.9508	1	27.9025	nan
58.0561	1	43.4975	nan
111.189	1	62.185	nan
