mass	count	area	area_std
2.25304	22	4.36193	0.155827
3.11801	7	5.47552	1.76229
4.31504	8	6.07625	0.940541
5.97163	5	9.43861	0.799959
8.2642	5	10.3284	1.5858
11.4369	5	13.8769	2.56375
15.8276	1	18.865	nan
41.9508	1	36.4875	nan
58.0561	3	38.0067	4.31698
153.876	2	78.8237	16.2299
294.704	3	120.42	12.0546
407.844	2	203.769	15.5295
