mass	count	area	area_std
2.25304	47	4.43388	0.138035
3.11801	29	5.42397	0.238352
4.31504	30	6.6409	0.279391
5.97163	21	8.15218	0.405708
8.2642	13	10.4826	0.492111
11.4369	18	10.72	0.712743
15.8276	12	14.0669	2.55916
21.904	6	16.7194	2.85328
30.3132	8	22.736	2.95914
41.9508	6	23.6344	3.22166
58.0561	4	34.3858	3.42916
80.3444	4	39.8206	10.2837
111.189	1	65.1725	nan
153.876	1	65.5975	nan
