mass_center	num_clusters	mean_probability_density	std_probability_density
1.1764	12100	0.599078	0.0399475
2.25304	3487	0.172547	0.0270922
3.11801	1443	0.0713461	0.0193654
4.31504	1439	0.0356502	0.00933189
5.97163	588	0.0146284	0.00616787
8.2642	304	0.00759546	0.0038223
11.4369	337	0.00421093	0.00227267
15.8276	189	0.00185278	0.00134493
21.904	115	0.000830382	0.000790343
30.3132	79	0.00039891	0.000472474
41.9508	51	0.00018525	0.000221424
58.0561	26	7.08732e-05	0.00013765
80.3444	20	3.89457e-05	8.0802e-05
111.189	7	1.0118e-05	3.81304e-05
153.876	1	1.07943e-06	1.10609e-05
