mass_center	num_clusters	mean_probability_density	std_probability_density
1.1764	6567	0.482421	0.0382178
2.25304	2282	0.16787	0.0326142
3.11801	1186	0.0867241	0.0248347
4.31504	1251	0.0461054	0.0125481
5.97163	670	0.0244639	0.00895146
8.2642	400	0.014795	0.006994
11.4369	442	0.00820348	0.00414087
15.8276	298	0.00439759	0.00240538
21.904	227	0.00241633	0.00153678
30.3132	137	0.00102473	0.000894041
41.9508	77	0.000416359	0.000548585
58.0561	40	0.000161374	0.000241629
80.3444	13	3.9193e-05	0.000105053
111.189	1	1.97426e-06	2.02301e-05
153.876	4	6.03576e-06	3.05385e-05
