mass_center	num_clusters	mean_probability_density	std_probability_density
1.1764	18535	0.664259	0.0267353
2.25304	4647	0.166697	0.02274
3.11801	1865	0.0668486	0.0156256
4.31504	1482	0.0266144	0.00721921
5.97163	622	0.0112219	0.00434297
8.2642	287	0.00517633	0.00329541
11.4369	224	0.00203259	0.00129688
15.8276	100	0.00072645	0.000696474
21.904	70	0.000367197	0.000414885
30.3132	29	0.000106953	0.00019125
41.9508	12	3.22384e-05	9.04087e-05
58.0561	7	1.45424e-05	5.47436e-05
80.3444	1	1.53908e-06	1.57708e-05
