mass_center	num_clusters	mean_probability_density	std_probability_density
1.1764	2582	0.417936	0.0584045
2.25304	927	0.149309	0.0429759
3.11801	539	0.0862692	0.0367908
4.31504	573	0.0455365	0.0184475
5.97163	323	0.0263346	0.0151968
8.2642	204	0.0165563	0.0100862
11.4369	224	0.0089548	0.00569569
15.8276	198	0.00631515	0.00482108
21.904	149	0.00340347	0.00284985
30.3132	132	0.00210797	0.00212647
41.9508	108	0.00122393	0.00113677
58.0561	89	0.000739594	0.000789995
80.3444	49	0.000312907	0.000441756
111.189	57	0.000272604	0.000393425
153.876	26	8.81025e-05	0.000175374
212.951	14	3.71088e-05	9.64513e-05
294.704	6	1.18892e-05	4.88981e-05
