mass_center	num_clusters	mean_probability_density	std_probability_density
1.1764	2646	0.479594	0.0790872
2.25304	1001	0.181604	0.0574575
3.11801	481	0.0868292	0.0400428
4.31504	487	0.0440228	0.0163181
5.97163	226	0.0205285	0.0142448
8.2642	146	0.0131503	0.0106366
11.4369	137	0.00622483	0.00499327
15.8276	79	0.00279108	0.00312614
21.904	59	0.00153399	0.00216521
30.3132	57	0.00105077	0.00151495
41.9508	35	0.000444259	0.000875845
58.0561	18	0.000163494	0.00040191
80.3444	25	0.000172346	0.000438252
111.189	10	5.17038e-05	0.00016105
153.876	15	5.5335e-05	0.000157437
212.951	28	7.44266e-05	0.000134274
294.704	34	6.3075e-05	9.22455e-05
407.844	35	5.10406e-05	7.38584e-05
