mass_center	num_clusters	mean_probability_density	std_probability_density
1.1764	1706	0.453924	0.0826416
2.25304	577	0.152908	0.0589364
3.11801	311	0.0823377	0.0454266
4.31504	310	0.0413387	0.0255014
5.97163	182	0.0238343	0.0162153
8.2642	109	0.0145955	0.0148925
11.4369	124	0.00826409	0.00717157
15.8276	88	0.0046889	0.00527137
21.904	68	0.00254485	0.0031643
30.3132	65	0.00173601	0.00197497
41.9508	32	0.000598011	0.00111701
58.0561	34	0.00048628	0.000885492
80.3444	18	0.000183246	0.000469089
111.189	14	0.000101141	0.000283089
153.876	23	0.000120879	0.000257718
212.951	27	0.00010368	0.000216507
294.704	36	0.000102955	0.000146449
407.844	36	7.81834e-05	0.000110774
