mass_center	num_clusters	mean_probability_density	std_probability_density
1.1764	3106	0.417369	0.0463507
2.25304	1137	0.153198	0.0413763
3.11801	642	0.0857305	0.0297126
4.31504	625	0.0415632	0.0182161
5.97163	378	0.0254478	0.013505
8.2642	263	0.0175776	0.0101087
11.4369	364	0.0122993	0.00612697
15.8276	273	0.00732464	0.00421489
21.904	209	0.00402381	0.00279177
30.3132	124	0.00167515	0.00161916
41.9508	116	0.00111498	0.000912419
58.0561	90	0.000626312	0.000584139
80.3444	58	0.000312772	0.000396154
111.189	32	0.000125713	0.000201458
153.876	17	4.6603e-05	0.000107873
212.951	4	9.25323e-06	4.70783e-05
294.704	3	6.296e-06	3.69132e-05
