k/<k>	mean_density	std_density
0.050000	1.11295314e-02	5.83875730e-02
0.150000	3.26086955e-01	2.05878185e-01
0.250000	2.63657849e-01	2.91108005e-01
0.350000	5.16672428e-01	4.17465910e-01
0.450000	5.38787315e-01	4.72599200e-01
0.650000	7.62698687e-01	4.68849678e-01
0.950000	6.48748503e-01	5.55205995e-01
1.050000	7.52686156e-01	5.27967127e-01
1.150000	7.86716270e-01	5.84367746e-01
1.250000	6.56612251e-01	5.94551554e-01
1.350000	6.14769854e-01	4.34330240e-01
1.450000	5.44937284e-01	4.60703027e-01
1.550000	4.35687350e-01	3.62732178e-01
1.650000	3.21720046e-01	2.64376919e-01
0.550000	6.69091371e-01	4.76321225e-01
0.750000	6.25228948e-01	4.72566985e-01
0.850000	6.95832433e-01	5.86583901e-01
1.750000	3.39970071e-01	3.22023388e-01
1.950000	1.21611388e-01	1.65955738e-01
2.050000	8.31429046e-02	1.48234565e-01
2.350000	2.16088425e-02	8.53040139e-02
1.850000	1.61153969e-01	1.94504376e-01
2.150000	5.79979794e-02	1.19024867e-01
2.250000	2.52340556e-02	6.39812092e-02
2.450000	1.36281868e-02	5.20762989e-02
2.750000	1.81159420e-03	1.61018015e-02
2.650000	2.77777778e-03	2.46894289e-02
