k/<k>	mean_density	std_density
0.050000	6.79713388e-03	4.01552334e-02
0.150000	2.85118132e-01	1.85146980e-01
0.250000	3.28418913e-01	2.47338720e-01
0.350000	4.18000614e-01	3.09705904e-01
0.450000	5.13653288e-01	3.31315516e-01
0.550000	7.26332376e-01	4.65123416e-01
0.650000	6.22107455e-01	4.03220433e-01
0.750000	7.17873648e-01	4.83632392e-01
0.850000	7.68034161e-01	4.79629755e-01
0.950000	7.20589606e-01	4.86133188e-01
1.150000	7.28969419e-01	5.01834394e-01
1.250000	7.52531140e-01	4.82103650e-01
1.350000	5.96618789e-01	4.82595060e-01
1.450000	4.79455370e-01	3.62718280e-01
1.550000	4.22561813e-01	3.23384875e-01
1.650000	4.25535692e-01	2.98541071e-01
1.050000	7.19571477e-01	4.82974999e-01
1.750000	3.60816072e-01	3.06674558e-01
1.850000	1.94524784e-01	2.18592335e-01
2.050000	4.92452272e-02	1.16392701e-01
2.150000	2.72355671e-02	6.91091689e-02
1.950000	1.05188597e-01	1.50076213e-01
2.250000	1.09451080e-02	4.37109482e-02
2.350000	1.48147137e-02	7.01085862e-02
2.550000	5.06090238e-03	2.86365451e-02
