k/<k>	mean_density	std_density
0.150000	3.04500340e-01	1.02359070e-01
0.350000	5.17955396e-01	2.66234756e-01
0.550000	8.42589778e-01	3.67041987e-01
0.750000	4.68249721e-01	5.64624711e-01
0.850000	1.08220458e+00	5.66690948e-01
1.050000	8.45482231e-01	3.85666468e-01
1.250000	7.59062998e-01	3.35592917e-01
1.450000	3.96122692e-01	4.21549268e-01
1.550000	5.06148671e-01	3.00062655e-01
1.750000	3.20011562e-01	1.76860028e-01
1.950000	1.79235262e-01	1.11434799e-01
2.150000	4.78400213e-02	7.92852245e-02
2.250000	8.32449124e-02	1.23416532e-01
2.450000	6.50113369e-02	1.11180013e-01
2.850000	9.67843073e-03	2.18067494e-02
0.450000	4.73183346e-01	4.51456555e-01
0.650000	1.01154372e+00	3.68200754e-01
0.950000	2.46008907e-01	3.57329619e-01
1.150000	3.34877716e-01	3.55225113e-01
2.050000	1.86047856e-01	1.23241531e-01
2.350000	6.02423676e-02	7.35085015e-02
1.350000	5.01250081e-01	3.51045212e-01
0.250000	3.69872627e-01	3.15530232e-01
1.650000	1.99573283e-01	2.43560842e-01
1.850000	1.64033274e-01	1.77458245e-01
2.650000	1.86905411e-02	4.61220089e-02
2.750000	2.59000259e-03	8.97203216e-03
2.550000	4.74833808e-03	1.64487256e-02
