k/<k>	mean_density	std_density
0.150000	2.78230473e-01	1.55608810e-01
0.250000	4.09131507e-01	1.74759874e-01
0.350000	4.56745328e-01	2.04693013e-01
0.450000	6.08199141e-01	2.13080249e-01
0.550000	7.26685086e-01	2.77710710e-01
0.650000	4.74790262e-01	3.33852330e-01
0.750000	7.12494848e-01	2.62132470e-01
0.850000	7.76923655e-01	2.79256518e-01
0.950000	7.24636350e-01	2.52540472e-01
1.050000	6.61436465e-01	2.75234973e-01
1.150000	8.63260715e-01	2.17172011e-01
1.250000	4.81191000e-01	2.34591802e-01
1.350000	5.07517552e-01	2.82799964e-01
1.450000	5.36304440e-01	2.91999804e-01
1.550000	3.86285193e-01	2.13518273e-01
1.650000	3.93382735e-01	2.10925785e-01
1.750000	4.12239690e-01	2.52309841e-01
1.850000	1.76561303e-01	1.79086933e-01
1.950000	1.64595546e-01	1.28055952e-01
2.050000	1.22861440e-01	1.03126877e-01
2.150000	4.17700699e-02	4.51051819e-02
0.050000	4.31864157e-02	9.07102088e-02
2.250000	1.48785482e-02	2.96820835e-02
2.350000	1.39938228e-02	3.50460744e-02
2.750000	1.26984127e-02	4.75131097e-02
