k/<k>	mean_density	std_density
0.150000	2.53827843e-01	1.85935319e-01
0.250000	3.43737751e-01	2.43223388e-01
0.450000	5.75108851e-01	3.56132231e-01
0.550000	6.55393127e-01	3.45154982e-01
0.750000	7.04304540e-01	4.63021414e-01
0.850000	7.80564791e-01	5.38832622e-01
1.050000	6.27092505e-01	4.83888464e-01
1.150000	8.28316146e-01	5.99539812e-01
1.350000	5.93737844e-01	3.66723083e-01
1.450000	5.67947256e-01	4.59541195e-01
1.650000	3.70950514e-01	2.78719578e-01
1.750000	2.37891103e-01	2.12386182e-01
0.650000	6.90488185e-01	4.09616542e-01
0.950000	6.70463805e-01	4.38740172e-01
1.250000	6.70749503e-01	4.90121527e-01
1.550000	5.62012909e-01	3.74392465e-01
1.950000	1.42184177e-01	1.77888289e-01
2.250000	2.58781014e-02	7.31079624e-02
2.350000	1.50323356e-02	5.46905252e-02
0.350000	4.14793005e-01	2.95312488e-01
1.850000	1.50457768e-01	1.93226589e-01
2.050000	6.52441562e-02	1.12884669e-01
2.150000	2.56164309e-02	5.99593944e-02
2.650000	9.51837045e-04	6.73050429e-03
2.450000	4.61361015e-03	2.26066897e-02
0.050000	2.26419070e-02	7.92836405e-02
