k/<k>	mean_density	std_density
0.050000	1.81220303e-01	7.81982878e-02
0.150000	3.11039126e-01	6.32282305e-02
0.250000	3.38803947e-01	1.28457730e-01
0.350000	3.76603434e-01	1.12052944e-01
0.450000	4.39209168e-01	2.19894175e-01
0.550000	4.52635457e-01	1.75773037e-01
0.650000	5.91156077e-01	6.23435174e-01
0.750000	7.52610539e-01	1.31750223e-01
0.850000	4.15034747e-01	7.56077312e-02
0.950000	6.99957831e-01	1.71800376e-01
1.050000	9.34286964e-01	9.14759037e-02
1.150000	1.11568297e+00	2.23062409e-01
1.250000	7.04753315e-01	3.18406049e-01
1.350000	5.06819810e-01	2.72495889e-01
1.450000	7.39067113e-01	2.51566291e-01
1.550000	4.93171671e-01	3.77210053e-02
1.650000	4.16660455e-01	1.25537921e-01
1.750000	2.46527268e-01	5.82469543e-02
1.850000	1.17223134e-01	6.28098858e-02
1.950000	1.29222493e-01	5.71362743e-02
2.050000	2.55427842e-02	3.61229518e-02
2.150000	1.27713921e-02	1.80614759e-02
