k/<k>	mean_density	std_density
0.150000	2.18873795e-01	1.25596701e-01
0.250000	4.75421459e-01	2.23187190e-01
0.350000	7.57127714e-01	4.04263762e-01
0.450000	6.32775051e-01	2.43183242e-01
0.550000	6.15720496e-01	2.79387855e-01
0.650000	5.16434203e-01	2.74665757e-01
0.750000	6.45012523e-01	2.31763353e-01
0.850000	6.89418497e-01	2.10428153e-01
0.950000	6.67743162e-01	2.63276377e-01
1.150000	6.70395163e-01	3.13913074e-01
1.250000	5.53543351e-01	2.37433795e-01
1.350000	6.01399597e-01	3.26012340e-01
1.450000	5.36424643e-01	2.09923976e-01
1.550000	3.98315046e-01	1.18645782e-01
1.650000	3.48043828e-01	1.51187275e-01
1.750000	2.80901137e-01	9.95051763e-02
1.950000	1.92426958e-01	1.64906079e-01
0.050000	9.75516483e-02	6.99344073e-02
1.050000	5.77011609e-01	2.44802973e-01
1.850000	1.96404085e-01	1.78546110e-01
2.050000	9.83236404e-02	1.20403366e-01
2.150000	7.82432988e-02	8.84221782e-02
2.250000	4.62047505e-02	7.18636658e-02
2.350000	2.21049269e-02	3.88340832e-02
2.450000	2.50243574e-02	5.93690505e-02
2.550000	2.45466221e-02	5.92592996e-02
2.650000	1.05988341e-02	4.23953365e-02
2.750000	4.80192077e-03	1.92076831e-02
2.850000	7.20288115e-03	2.88115246e-02
2.950000	1.20048019e-02	4.80192077e-02
