k/<k>	mean_density	std_density
0.150000	2.78673034e-01	1.53670946e-01
0.350000	6.58054693e-01	3.49636142e-01
0.550000	8.96740713e-01	3.81140960e-01
0.750000	9.40873648e-01	4.38447223e-01
0.950000	7.60672350e-01	5.34079289e-01
1.050000	7.74396864e-01	4.65227066e-01
1.250000	8.39958306e-01	5.02661302e-01
1.450000	7.18048396e-01	3.49026083e-01
1.650000	4.47900467e-01	2.28455844e-01
1.850000	1.79029777e-01	1.47926414e-01
1.950000	6.79222350e-02	7.18204957e-02
2.350000	4.72345254e-02	1.00990543e-01
0.450000	4.63983860e-01	4.84616866e-01
0.650000	3.60178829e-01	5.40319999e-01
1.550000	1.71321216e-01	2.28726385e-01
1.750000	2.49093719e-01	2.25500771e-01
2.050000	1.51816920e-01	1.84192138e-01
2.150000	4.81742971e-02	9.96249860e-02
2.450000	2.57609748e-02	8.50941088e-02
2.650000	9.18034933e-03	2.74617342e-02
2.850000	1.59974404e-03	6.78713916e-03
2.950000	3.19948808e-03	1.35742783e-02
0.250000	1.98603979e-01	2.11715930e-01
0.850000	6.15648169e-01	6.00531647e-01
1.150000	8.14622482e-01	6.23558218e-01
1.350000	2.17598910e-01	3.32550285e-01
2.250000	4.62167787e-02	1.42265207e-01
2.550000	1.34952767e-02	5.72556098e-02
