k/<k>	mean_density	std_density
0.150000	1.94724283e-01	1.72218915e-01
0.350000	5.78160334e-01	4.14437476e-01
0.450000	6.75172186e-01	4.05575994e-01
0.650000	8.22730226e-01	5.57973373e-01
0.850000	9.80867716e-01	5.09674718e-01
0.950000	6.42828919e-01	4.87912748e-01
1.150000	4.87432762e-01	6.02535601e-01
1.350000	5.83644254e-01	7.33814071e-01
1.450000	4.61619080e-01	4.69002511e-01
1.650000	4.07307558e-01	4.58410372e-01
1.850000	2.05655926e-01	2.71785341e-01
1.950000	1.51473151e-01	1.84513732e-01
0.250000	2.97712096e-01	3.17512766e-01
1.050000	7.50538418e-01	5.80837581e-01
1.250000	6.06135224e-01	4.22150897e-01
0.750000	6.62527329e-01	5.01139612e-01
1.550000	4.57824325e-01	3.68038045e-01
1.750000	4.08467056e-01	3.31106019e-01
0.550000	4.73563555e-01	5.23569335e-01
2.050000	5.31062658e-02	1.42903106e-01
2.150000	5.17313848e-02	1.06922338e-01
2.250000	8.92857143e-03	4.63942181e-02
2.350000	2.44565217e-02	9.01104997e-02
2.450000	1.33928571e-02	6.95913271e-02
