k/<k>	mean_density	std_density
0.050000	1.06018422e-01	1.08355895e-01
0.250000	4.22614930e-01	2.36534665e-01
0.350000	4.24158333e-01	2.27150083e-01
0.450000	5.18891943e-01	3.01632279e-01
0.550000	6.46189353e-01	3.06739098e-01
0.650000	7.36915396e-01	3.71539708e-01
0.750000	6.44299720e-01	3.91874628e-01
0.850000	7.56782073e-01	3.75905503e-01
0.950000	7.09167123e-01	4.29226896e-01
1.050000	6.59894649e-01	3.54282076e-01
1.150000	6.25499872e-01	3.46944060e-01
1.250000	6.47331400e-01	3.92133973e-01
1.350000	6.34029949e-01	3.60078233e-01
1.450000	5.73735988e-01	3.16048550e-01
1.550000	4.62446549e-01	2.91435088e-01
1.650000	4.18033693e-01	2.23388903e-01
1.750000	3.58585385e-01	2.67721479e-01
1.850000	2.00832314e-01	1.89376859e-01
2.050000	6.69275759e-02	1.04731313e-01
0.150000	1.98116923e-01	1.11529452e-01
1.950000	1.37086837e-01	1.23698939e-01
2.150000	3.50681002e-02	7.85639218e-02
2.250000	6.57668760e-03	2.55759099e-02
2.350000	5.65810315e-03	2.24623611e-02
2.650000	2.87521564e-03	1.95006613e-02
2.450000	2.26346763e-03	1.53515844e-02
