k/<k>	mean_density	std_density
0.150000	3.35071374e-01	1.65233822e-01
0.250000	3.96323760e-01	2.27595591e-01
0.350000	5.42826305e-01	2.58081197e-01
0.450000	5.82958703e-01	3.47566824e-01
0.550000	7.09104635e-01	3.03946362e-01
0.650000	8.33265305e-01	3.68457632e-01
0.850000	6.73563597e-01	3.69723380e-01
0.950000	6.73909372e-01	3.05704552e-01
1.050000	6.10126337e-01	3.15828125e-01
1.150000	5.34390060e-01	1.92633326e-01
1.250000	5.46472543e-01	2.78588550e-01
1.350000	4.75988358e-01	2.55779907e-01
1.550000	4.64182992e-01	2.33922006e-01
1.650000	2.64184132e-01	2.12142155e-01
1.750000	2.91987024e-01	1.76982410e-01
1.850000	3.75286553e-01	1.95326752e-01
1.950000	1.14579930e-01	7.66117088e-02
2.050000	1.70518817e-01	9.86404309e-02
2.250000	9.36248829e-02	1.06950797e-01
2.350000	5.74724294e-02	9.90552641e-02
2.450000	1.49678792e-02	2.64421340e-02
0.050000	8.26251121e-02	1.17431657e-01
0.750000	6.00070406e-01	3.23929570e-01
1.450000	4.45408930e-01	1.40249488e-01
2.150000	8.66609267e-02	6.96178183e-02
2.550000	1.98800470e-02	3.95826562e-02
2.950000	4.54959054e-03	1.64037820e-02
