k/<k>	mean_density	std_density
0.150000	3.64928096e-01	2.78867917e-01
0.250000	2.66436396e-01	3.14398579e-01
0.350000	6.15742232e-01	4.53639002e-01
0.550000	9.55750049e-01	5.01782214e-01
0.650000	3.01683854e-01	4.97649939e-01
0.750000	9.40324127e-01	6.49024581e-01
0.950000	1.05821005e+00	7.02223476e-01
1.050000	5.47559755e-01	7.06253209e-01
1.150000	8.40421899e-01	5.85071351e-01
1.250000	3.50211934e-01	5.72032013e-01
1.450000	5.06379684e-01	5.19010374e-01
1.550000	4.34112625e-01	4.37408437e-01
1.650000	4.53442964e-01	3.05877858e-01
1.850000	1.95185152e-01	2.57652002e-01
1.950000	1.85315225e-01	2.08679735e-01
2.150000	1.34986684e-01	2.44191204e-01
2.350000	5.41072668e-02	1.02409558e-01
0.450000	4.25102671e-01	5.07951470e-01
0.850000	5.61093341e-01	7.10790715e-01
1.350000	5.99525506e-01	5.30708880e-01
1.750000	9.57207624e-02	1.37998529e-01
2.550000	9.87654321e-03	4.83849826e-02
2.950000	4.93827160e-03	2.41924913e-02
2.050000	7.29506700e-02	1.69320453e-01
2.750000	1.33365901e-02	4.73356440e-02
2.850000	4.49438202e-03	2.20178853e-02
2.250000	8.16326531e-03	3.99916693e-02
