k/<k>	mean_density	std_density
0.150000	3.07300872e-01	1.79001754e-01
0.350000	4.88386550e-01	3.73371489e-01
0.550000	5.46881977e-01	4.02381564e-01
0.750000	6.83357239e-01	4.95683784e-01
0.850000	7.07818225e-01	4.62100900e-01
1.050000	6.09540756e-01	4.35100819e-01
1.250000	7.54671742e-01	4.24126935e-01
1.450000	5.85309916e-01	4.51486596e-01
1.650000	4.13543125e-01	2.47588837e-01
0.250000	3.44374374e-01	2.60891368e-01
0.450000	6.10877893e-01	3.52322177e-01
0.650000	7.32734133e-01	4.88424976e-01
0.950000	7.01310280e-01	5.17661315e-01
1.150000	6.30200282e-01	4.79578751e-01
1.550000	5.05656524e-01	3.43460061e-01
1.750000	2.33319668e-01	2.66301276e-01
1.850000	1.86414264e-01	2.08154286e-01
1.350000	6.11716998e-01	4.75202744e-01
1.950000	1.25523543e-01	1.53017224e-01
0.050000	1.53241582e-02	8.39717990e-02
2.050000	8.67670137e-02	1.48862595e-01
2.150000	6.94314586e-02	1.14725559e-01
2.350000	1.37365113e-02	4.76428947e-02
2.550000	1.11607143e-03	8.85854234e-03
2.450000	4.27676152e-03	2.40635208e-02
2.250000	2.85271322e-02	7.61793130e-02
3.050000	1.88253012e-03	1.49421196e-02
