k/<k>	mean_density	std_density
0.150000	2.38762979e-01	1.15870342e-01
0.250000	3.02894770e-01	1.69076029e-01
0.350000	5.01783050e-01	2.56892513e-01
0.450000	6.40703056e-01	3.52300588e-01
0.550000	6.55899120e-01	2.80944053e-01
0.650000	6.64465147e-01	2.83805154e-01
0.750000	7.33039786e-01	2.60846799e-01
0.850000	8.13701745e-01	3.79728274e-01
0.950000	6.86731021e-01	3.52626839e-01
1.050000	6.49399366e-01	3.44056759e-01
1.150000	6.72351332e-01	4.21548666e-01
1.250000	6.85636254e-01	3.57207274e-01
1.350000	4.80130481e-01	3.15917582e-01
1.450000	4.14199926e-01	2.20131506e-01
1.550000	3.79413491e-01	2.78971740e-01
1.650000	3.12357117e-01	1.96183563e-01
1.750000	3.10143610e-01	2.16723862e-01
1.850000	2.75486465e-01	1.79824787e-01
1.950000	1.98939651e-01	2.11186546e-01
2.050000	1.41687535e-01	1.46245428e-01
2.150000	8.37238334e-02	9.55129964e-02
2.250000	3.71202491e-02	5.70686380e-02
0.050000	8.36560319e-02	7.96713915e-02
2.350000	3.00854904e-02	4.75310085e-02
2.450000	7.68849206e-03	2.49547762e-02
