k/<k>	mean_density	std_density
0.150000	2.85898809e-01	1.79091299e-01
0.250000	3.47924837e-01	3.19375532e-01
0.450000	5.53405742e-01	4.13001729e-01
0.550000	6.39112198e-01	4.67758143e-01
0.650000	7.97076354e-01	5.87827417e-01
0.850000	7.87788769e-01	5.60423799e-01
0.950000	6.59971546e-01	5.54761759e-01
1.050000	6.96576125e-01	5.69672492e-01
1.250000	7.52394452e-01	6.39407251e-01
1.350000	5.11963217e-01	4.69396858e-01
1.550000	3.87139911e-01	3.11389376e-01
1.650000	2.87467731e-01	2.64033343e-01
1.150000	5.15288724e-01	5.40377604e-01
1.850000	2.07548044e-01	1.90873184e-01
0.350000	5.46717565e-01	4.54951909e-01
0.750000	7.05513511e-01	5.95326307e-01
1.450000	5.50044037e-01	3.10443802e-01
1.950000	1.89273146e-01	1.79839593e-01
2.350000	1.87778314e-02	6.26619574e-02
2.550000	7.30994152e-03	3.50572480e-02
2.150000	3.97105382e-02	8.71046671e-02
2.250000	9.16010092e-02	1.34183341e-01
1.750000	2.74635628e-01	3.13539604e-01
2.050000	1.20661507e-01	2.03265181e-01
2.450000	1.96884095e-02	6.68299601e-02
2.650000	6.51041667e-03	3.12228615e-02
