k/<k>	mean_density	std_density
0.050000	7.75304644e-02	1.13472116e-01
0.150000	2.41585984e-01	1.88890543e-01
0.250000	4.06293186e-01	2.17260771e-01
0.350000	5.39723052e-01	3.55235399e-01
0.450000	5.49443964e-01	2.67002413e-01
0.550000	5.96032148e-01	3.30094611e-01
0.650000	7.10039457e-01	3.36286638e-01
0.750000	6.45968610e-01	3.12357787e-01
0.850000	6.03570302e-01	3.00125574e-01
0.950000	6.64815621e-01	4.55746083e-01
1.050000	7.68511677e-01	4.19182023e-01
1.150000	6.12558031e-01	3.75037178e-01
1.250000	6.95531451e-01	3.61625958e-01
1.350000	6.11192260e-01	3.00598033e-01
1.450000	5.78509402e-01	2.74683702e-01
1.550000	4.59141688e-01	2.54083337e-01
1.650000	3.92093262e-01	2.37284150e-01
1.750000	3.12266880e-01	2.41073518e-01
1.850000	2.00029134e-01	1.80621554e-01
1.950000	1.46414044e-01	1.83488467e-01
2.050000	7.54974127e-02	9.02608108e-02
2.150000	5.78434101e-02	1.06192099e-01
2.250000	2.35578927e-02	7.14237547e-02
2.350000	1.30434040e-02	3.96313990e-02
2.450000	1.42865789e-02	5.21850469e-02
2.550000	4.52068257e-03	2.12526089e-02
