k/<k>	mean_density	std_density
0.150000	3.41078439e-01	2.31457135e-01
0.350000	4.19775270e-01	2.71618053e-01
0.450000	4.55929313e-01	3.59435315e-01
0.650000	5.25702060e-01	4.62878674e-01
0.750000	7.81382363e-01	4.80065571e-01
0.950000	8.09350437e-01	5.36407337e-01
1.050000	7.07011553e-01	4.93185245e-01
1.250000	6.52246456e-01	4.65441969e-01
1.350000	6.46409549e-01	4.23964074e-01
1.550000	5.25907343e-01	3.54831654e-01
1.650000	3.16684784e-01	2.77923827e-01
1.850000	1.46215155e-01	2.02552311e-01
1.950000	1.53748770e-01	2.03688279e-01
2.150000	4.50302893e-02	9.67763945e-02
0.550000	7.19959370e-01	4.49985746e-01
0.850000	7.40907797e-01	4.88177553e-01
1.450000	5.40576590e-01	3.88631833e-01
1.750000	2.97371864e-01	2.65477710e-01
0.250000	3.22943224e-01	2.71170039e-01
1.150000	7.34919865e-01	5.47017287e-01
2.050000	6.97513188e-02	1.28391560e-01
0.050000	1.82708927e-02	9.08011936e-02
2.350000	4.45357576e-03	2.08178651e-02
2.450000	5.76595887e-03	2.77793959e-02
2.550000	1.17827265e-03	9.71628520e-03
2.650000	3.53481796e-03	2.91488556e-02
2.250000	1.38946708e-02	5.38512194e-02
