mass	count	cc	cc_std
1.1764	3106	0	0
2.25304	1137	0	0
3.11801	642	0.547259	0.232925
4.31504	625	0.623962	0.157035
5.97163	378	0.676582	0.125541
8.2642	263	0.684053	0.114271
11.4369	364	0.689049	0.0613021
15.8276	273	0.662312	0.0640433
21.904	209	0.657515	0.0735841
30.3132	124	0.649909	0.0470362
41.9508	116	0.652208	0.0377822
58.0561	90	0.648014	0.0295981
80.3444	58	0.652435	0.0226903
111.189	32	0.641734	0.0180197
153.876	17	0.629996	0.0201656
212.951	4	0.63054	0.0187068
294.704	3	0.634687	0.00540455
